teid,qfi,qid
50,6,6
62,6,6
20,6,6
80,6,6
53,6,6
12,6,6
22,6,6
72,6,6
11,6,6
1,6,6
86,6,6
51,6,6
8,6,6
83,6,6
35,6,6
40,6,6
9,8,7
38,9,7
73,9,7
82,9,7
10,9,7
75,9,7
26,2,7
34,9,7
61,9,7
90,9,7
20,9,7
71,7,7
50,9,7
81,9,7
28,9,7
66,7,3
48,7,3
99,3,2
7,3,2
45,3,2
42,3,2
50,5,1
16,5,1
40,5,1
72,3,2
4,2,5
90,5,1
98,2,5
10,5,1
62,5,1
29,2,5
3,3,2
15,2,5
61,5,1
98,3,2
73,3,2
26,5,1
44,3,2
55,4,4
13,3,2
87,1,0
92,1,0
66,3,2
39,1,0
8,4,4
26,2,5
72,7,3
68,6,6
16,1,0
68,5,1
2,5,1
100,7,3
44,7,3
95,5,1
79,3,2
91,7,3
58,5,1
11,3,2
38,2,5
69,5,1
59,3,2
86,3,2
89,2,5
30,5,1
40,3,2
18,3,2
6,2,5
14,3,2
77,7,3
15,3,2
67,3,2
80,3,2
46,3,2
91,1,0
14,5,1
63,7,3
9,3,2
49,7,3
65,1,0
62,9,7
5,7,3
49,1,0
56,5,1
74,5,1
82,2,5
9,1,0
4,4,4
71,2,5
74,3,2
96,7,3
27,3,2
54,2,5
59,1,0
2,3,2
23,3,2
63,1,0
93,2,5
67,5,1
89,3,2
94,2,5
2,2,5
60,3,2
12,5,1
42,1,0
84,2,5
1,1,0
37,1,0
8,9,7
7,5,1
52,1,0
93,5,1
30,3,2
92,2,5
24,2,5
17,3,2
92,5,1
41,2,5
65,7,3
88,1,0
11,5,1
41,1,0
53,2,5
66,1,0
27,1,0
70,7,3
73,1,0
57,1,0
87,2,5
34,3,2
100,2,5
99,2,5
6,1,0
41,4,4
19,5,1
57,4,4
32,2,5
61,2,5
29,7,3
77,1,0
33,2,5
36,5,1
95,1,0
53,7,3
38,1,0
70,5,1
54,4,4
69,1,0
22,7,3
43,7,3
24,7,3
46,5,1
85,5,1
97,1,0
83,2,5
51,7,3
29,5,1
75,2,5
19,7,3
25,7,3
21,1,0
85,1,0
58,1,0
17,2,5
69,2,5
48,2,5
7,7,3
45,1,0
47,2,5
46,2,5
80,1,0
96,1,0
81,1,0
75,1,0
35,9,7
10,7,3
31,7,3
64,7,3
14,1,0
52,4,4
23,7,3
71,7,3
100,1,0
83,2,7
88,4,4
93,4,4
32,7,3
21,4,4
60,4,4
48,7,7
93,2,7
63,7,7
49,8,7
44,7,7
96,7,7
98,8,7
88,9,7
99,4,4
4,2,7
56,4,4
80,3,7
31,9,7
5,4,4
34,4,4
79,4,4
76,4,4
89,4,4
51,8,7
65,7,7
95,4,4
45,4,4
13,5,1
97,9,7
65,8,7
67,4,4
31,7,7
30,6,6
68,9,7
94,4,4
87,4,4
58,3,2
100,2,7
3,4,4
54,2,7
18,4,4
27,9,7
100,7,7
43,4,4
29,7,7
77,7,7
15,8,7
29,2,7
71,2,7
47,4,4
45,4,7
92,2,7
69,2,7
38,2,7
24,7,7
64,4,4
32,7,7
77,6,6
20,8,7
43,7,7
7,7,7
22,4,4
74,9,7
32,2,7
97,4,4
60,3,7
73,3,7
82,2,7
40,3,7
60,9,7
5,7,7
76,9,7
22,7,7
47,2,7
75,2,7
91,7,7
46,2,7
79,9,7
72,7,7
19,7,7
99,2,7
51,7,7
72,3,7
60,4,7
