teid,qfi,qid
1,6,6
86,6,6
81,6,6
30,6,6
80,6,6
43,6,6
33,6,6
72,6,6
68,6,6
51,6,6
50,6,6
31,8,7
28,9,7
31,9,7
32,9,7
27,9,7
15,8,7
81,9,7
34,9,7
47,9,7
66,7,7
6,9,7
7,5,1
11,5,1
74,5,1
12,5,1
46,5,1
29,5,1
56,5,1
15,3,2
89,3,2
16,5,1
46,3,2
2,3,2
42,3,2
68,5,1
66,7,3
55,4,4
45,4,4
58,3,2
58,5,1
72,3,2
10,5,1
61,5,1
60,3,2
97,1,0
66,3,2
80,3,2
6,1,0
30,3,2
46,2,5
83,2,5
34,3,2
44,3,2
95,5,1
88,1,0
19,7,3
59,3,2
7,3,2
65,1,0
9,3,2
67,3,2
74,3,2
92,5,1
41,2,5
1,1,0
84,2,5
14,5,1
23,3,2
70,7,3
61,2,5
86,3,2
33,2,5
73,3,2
98,3,2
40,3,2
95,1,0
49,1,0
45,3,2
24,2,5
17,3,2
65,7,3
48,2,5
13,3,2
85,1,0
9,1,0
87,2,5
27,3,2
85,5,1
29,7,3
69,5,1
75,2,5
43,7,3
99,3,2
2,5,1
52,1,0
91,7,3
36,3,2
27,1,0
18,3,2
3,3,2
90,5,1
44,7,3
79,3,2
11,3,2
32,2,5
2,2,5
62,5,1
48,7,3
19,5,1
75,1,0
58,1,0
52,9,7
35,9,7
17,2,5
30,5,1
42,1,0
47,2,5
94,2,5
63,1,0
6,2,5
21,1,0
38,2,5
98,2,5
41,1,0
14,1,0
99,2,5
82,2,5
14,3,2
24,7,3
57,1,0
77,7,3
22,7,3
59,1,0
41,4,4
10,7,3
54,2,5
15,2,5
66,1,0
37,1,0
39,1,0
5,7,3
71,7,3
77,1,0
50,5,1
67,5,1
96,7,3
70,5,1
69,2,5
87,1,0
53,7,3
29,2,5
38,1,0
36,5,1
13,5,1
53,2,5
91,1,0
100,2,5
23,7,3
100,1,0
7,7,3
96,1,0
64,7,3
40,5,1
92,1,0
73,1,0
49,7,3
93,2,5
45,1,0
89,2,5
78,1,0
94,4,4
80,1,0
26,5,1
25,7,3
100,7,3
4,4,4
69,1,0
72,7,3
92,2,5
16,1,0
48,9,7
63,7,3
35,4,4
51,7,3
70,7,7
39,9,7
54,4,4
49,7,7
3,4,4
18,4,4
82,9,7
60,4,4
52,4,4
88,9,7
93,5,1
95,4,4
4,2,5
75,2,7
74,3,7
72,3,7
25,7,7
55,8,7
47,4,4
5,4,4
46,2,7
27,3,7
78,8,7
90,4,4
25,8,7
53,7,7
22,4,4
59,3,7
76,4,4
71,2,5
47,2,7
5,8,7
10,7,7
43,4,4
32,2,7
61,2,7
34,4,4
92,2,7
64,4,4
3,8,7
17,3,7
83,2,7
24,2,7
19,7,7
64,9,7
97,4,4
43,7,7
21,4,4
84,2,7
57,4,4
79,4,4
61,9,7
64,7,7
23,7,7
86,8,7
87,2,7
88,4,4
21,9,7
38,9,7
93,4,4
8,4,4
60,9,7
63,7,7
82,2,7
51,7,7
99,4,4
93,2,7
73,9,7
62,9,7
20,9,7
99,2,7
98,2,7
15,2,7
100,7,7
17,2,7
41,2,7
68,9,7
