teid,qfi,qid
68,6,6
8,6,6
20,6,6
37,6,6
80,6,6
83,6,6
28,6,6
53,6,6
50,6,6
11,6,6
40,6,6
1,6,6
22,6,6
56,6,6
49,8,7
98,8,7
28,9,7
32,9,7
88,9,7
97,9,7
76,9,7
20,9,7
75,9,7
43,7,7
81,9,7
60,3,2
46,3,2
50,9,7
99,3,2
59,3,2
74,9,7
51,7,3
40,3,2
38,9,7
11,3,2
80,1,0
69,1,0
62,6,6
90,5,1
13,3,2
99,4,4
67,4,4
19,5,1
75,2,5
70,5,1
18,4,4
73,3,2
16,5,1
74,3,2
58,3,2
27,3,2
7,7,3
66,3,2
65,7,3
47,2,5
80,3,2
89,4,4
29,5,1
98,3,2
65,1,0
56,5,1
74,5,1
87,2,5
39,1,0
97,1,0
45,1,0
42,3,2
43,7,3
22,7,3
62,5,1
36,5,1
7,5,1
12,5,1
50,5,1
61,2,5
89,3,2
63,1,0
6,2,5
71,2,5
58,5,1
57,1,0
96,7,3
26,5,1
14,3,2
93,5,1
79,3,2
41,2,5
46,5,1
45,3,2
23,3,2
54,2,5
72,3,2
77,7,3
49,7,3
19,7,3
48,7,3
67,5,1
21,1,0
52,1,0
77,1,0
92,2,5
9,3,2
95,1,0
18,3,2
84,2,5
67,3,2
16,1,0
100,2,5
71,7,3
36,3,2
86,3,2
100,7,3
15,2,5
82,2,5
34,3,2
2,5,1
44,7,3
11,5,1
30,5,1
15,3,2
61,5,1
92,1,0
27,1,0
46,2,5
60,4,4
2,3,2
23,7,3
94,2,5
7,3,2
93,2,5
44,3,2
24,7,3
3,3,2
32,7,3
85,1,0
4,2,5
2,2,5
96,1,0
59,1,0
29,7,3
13,5,1
95,5,1
88,4,4
32,2,5
14,5,1
81,1,0
40,5,1
69,5,1
1,1,0
66,1,0
55,4,4
30,3,2
10,5,1
17,3,2
91,7,3
58,1,0
70,7,3
92,5,1
83,2,5
87,1,0
72,7,3
49,1,0
66,7,3
68,5,1
66,7,7
85,5,1
38,2,5
14,1,0
63,7,3
91,1,0
24,2,5
69,2,5
6,1,0
9,1,0
98,2,5
37,1,0
73,1,0
10,7,3
12,6,6
89,2,5
17,2,5
53,7,3
42,1,0
8,4,4
41,1,0
5,7,3
64,7,3
33,2,5
100,1,0
53,2,5
48,2,5
29,2,5
88,1,0
6,9,7
47,4,4
31,7,3
56,4,4
25,7,3
85,8,7
87,2,7
60,9,7
57,4,4
4,4,4
21,4,4
24,7,7
45,4,4
33,2,7
64,4,4
84,8,7
92,2,7
100,2,7
16,8,7
51,8,7
54,4,4
32,7,7
31,9,7
34,4,4
65,7,7
22,4,4
40,3,7
94,4,4
76,4,4
95,4,4
18,8,7
5,4,4
71,2,7
71,7,7
68,9,7
3,4,4
79,4,4
10,9,7
93,2,7
64,7,7
2,2,7
19,7,7
41,4,4
54,2,7
38,2,7
43,4,4
96,7,7
30,6,6
29,2,7
63,7,7
8,9,7
5,7,7
93,4,4
52,4,4
7,7,7
61,9,7
44,7,7
73,9,7
100,7,7
69,2,7
72,7,7
48,7,7
82,9,7
75,2,7
29,7,7
73,3,7
15,8,7
87,4,4
97,4,4
82,2,7
14,3,7
23,3,7
7,3,7
25,7,7
32,2,7
47,2,7
62,9,7
22,7,7
